reference,description,decision-date,organisation,notes,entry-date,start-date,end-date
23/00110/ADV,"Display of 3 internally illuminated 14,560mm wide x 3620mm high x 189mm deep flex face sign, full faced LED, powdercoated white and 2 non-illuminated 1500mm wide x 3225mm high x 150mm deep freestanding totem sign, with printed detail",2023-03-29,local-authority:DNC,,,,
23/00111/FUL,Erection of single storey living room extension in line with existing garage to the front of the dwelling,2023-03-23,local-authority:DNC,,,,
23/00113/FUL,Erection of ancillary storage unit and associated works,2024-01-05,local-authority:DNC,,,,
23/00115/3FUL,Installation of 3 metal alley gates to restrict vehicular access to alleyways.,2023-05-10,local-authority:DNC,,,,
23/00121/FUL,Erection of a new stable block and menage following the demolition of existing outbuildings,2023-07-17,local-authority:DNC,,,,
23/00122/FUL,Proposed conversion of existing outbuilding into two 1-bedroom self-contained flats,2023-08-24,local-authority:DNC,,,,
23/00127/FUL,"Erection of single storey side extension, ground floor rear extension and canopy roof across front of house (amended plans)",2023-03-22,local-authority:DNC,,,,
23/00128/FUL,Erection of a single storey front extension (being resubmission of application 22/00482/FUL granted on 14.04.2022) and erection of single storey side extension (Retrospective),2023-03-30,local-authority:DNC,,,,
23/00130/TPO,Consent to fell one Sycamore (T1) that is within A1 of Tickhill Urban District Council Tree Preservation Order (No.1) 1962 Tickhill.,2023-03-14,local-authority:DNC,,,,
23/00131/FUL,Formation of a new permeable driveway/site entrance and electric gates to a residential property,2023-06-16,local-authority:DNC,,,,
23/00133/FUL,Erection of single storey front extension and removal of the porch to be replaced with an Oak entrance feature.,2023-03-10,local-authority:DNC,,,,
23/00134/FUL,Erection of single storey detached double garage with attached store room to front of existing detached dwelling.,2023-03-10,local-authority:DNC,,,,
23/00135/FUL,Erection of single storey rear extension following the demolition of existing rear conservatory and erection of a side first floor extension above existing attached garage with new roof.,2023-03-15,local-authority:DNC,,,,
23/00137/ADV,Display of internally illuminated maxus fascia sign & double sided free standing pylon sign,2023-03-21,local-authority:DNC,,,,
23/00138/OUTM,"Outline application for residential development of up to 542 dwellings on approx. 20.9ha of land with associated public open space, parking, landscaping and infrastructure (approval being sought for access) without compliance with condition 18 of planning application 18/02592/3OUTM granted on 29/05/2019.",2023-04-26,local-authority:DNC,,,,
23/00139/FULM,Installation of underground cable,2023-05-04,local-authority:DNC,,,,
23/00140/FUL,"Erection of a single storey side extension to the dwelling house, following demolition of the existing garage. The proposed scheme to also include the replacement of the existing Landing window to the side elevation. Two roof lights to the rear roof slope of the side extension and the introduction of a log burner flue to the side elevation.",2023-03-10,local-authority:DNC,,,,
23/00141/FUL,"Erection of single storey front and rear extensions, replacement of the roof structure, incorporating a loft conversion and an increase in roof height to the dwelling house with the installation of a rear elevation flat roof dormer window, Velux roof lights to the front and both side elevations and PV panels to one side elevation.",2023-03-30,local-authority:DNC,,,,
23/00142/COU,Change of Use from Children's Residential Home (C2) to living accommodation for disabled adults linked to Mercury College (Sui Generis) (AMENDED DESCRIPTION),2023-12-12,local-authority:DNC,,,,
23/00144/FUL,Replacement of flat roof with pitched roof.,2023-05-09,local-authority:DNC,,,,
23/00145/PRIOR,Installation Of Roof Mounted Solar PV Panels,2023-04-03,local-authority:DNC,,,,
23/00147/FUL,Erection of a storage building,2023-04-11,local-authority:DNC,,,,
23/00148/FUL,Relocation of existing disabled parking space and installation of two rapid electric vehicle charging stations and associated parking spaces,2023-03-06,local-authority:DNC,,,,
23/00149/ADV,"Display of painted shop name sign, Rothwells Fish & Chips, on side of building to replace existing sign (retrospective)",2023-03-22,local-authority:DNC,,,,
23/00152/FUL,Proposed change of existing flat roof to pitched roof and render finish to all external walls.,2023-03-14,local-authority:DNC,,,,
23/00154/FULM,"Variation of Condition 2 (approved drawings) to Application16/01597/FULM granted on 02/11/2016  (amendments include  addition of office area with windows in phase 2, reposition of pump house and sprinkler tanks, addition of photovoltaic (PVP panels on roof with associated battery storage positioned adjacent to sprinkler tanks and condenser unit positions indicated)   
",2023-06-16,local-authority:DNC,,,,
