reference,description,decision-date,organisation,notes,entry-date,start-date,end-date
23/01290/ADV,"4 New Nissan corporate identity signage, consisting of 2 x Pylon signs, 6 x Illuminated fascia signs, 7 x Non illuminated fascia signs (Backing fascia).",2023-08-16,local-authority:DNC,,,,
23/01291/FUL,"Erection of two storey side extension, single storey rear extension (rendered) and erection of garden room",2023-08-07,local-authority:DNC,,,,
23/01292/FULM,Erection of ancillary storage building (non-permanent construction) on existing hard standing for a period of 5 years.,2023-12-15,local-authority:DNC,,,,
23/01294/FUL,Erection of close boarded timber fence to top of existing low level boundary walling. Maximum height of 2m.,2024-05-02,local-authority:DNC,,,,
23/01295/FUL,"Erection of 2 storey side extension and part single and part 2 storey rear extension also erection of proposed garden room / garage.(being resubmission of application 23/00470/FUL, granted on 31.05.2023).",2023-08-18,local-authority:DNC,,,,
23/01297/FUL,Change of use of shop and existing flat to create 3 individual flats.,2023-08-22,local-authority:DNC,,,,
23/01298/FUL,Erection of single storey side extension to form garage/utility/study to part replace existing side carport which is being demolished.,2023-08-30,local-authority:DNC,,,,
23/01305/4FULM,"Erection of residential development with public open space and associated landscaping, drainage and infrastructure. (Being resubmission of application 22/01710/4FULM refused on 14/04/2023.)",2023-11-24,local-authority:DNC,,,,
23/01307/FUL,"Change of use of part ground floor from retail (Use Class E) to drinking establishment with events space and live music (Sui Generis), with cold/warmed food to be provided from adjoining micropub/gin bar premises with associated internal alterations.",2023-09-15,local-authority:DNC,,,,
23/01308/FUL,Conversion and extension of stable and hay store to a 4-bed detached dwelling (being resubmission of 23/00220/FUL),2023-08-24,local-authority:DNC,,,,
23/01311/FUL,Erection of container for storage and woodland management.,2023-09-18,local-authority:DNC,,,,
23/01315/FUL,Erection of a grain store and associated landscaping.,2023-11-07,local-authority:DNC,,,,
23/01317/FUL,Change of use of first floor from a previous ancillary storage use relating to ground floor of 32 Nether Hall Road to 3 person HMO accommodation - Retrospective,2023-08-31,local-authority:DNC,,,,
23/01318/FUL,Replacement of timber framed conservatory extension with single storey rear brick extension (Retrospective),2023-10-11,local-authority:DNC,,,,
23/01319/TPO,"Conset to for the T1, Lime; adjacent to northern corner of property; reduce canopy back by 2 meters through southern aspect (house side) & reshape surrounding canopy as required. Crownlift to a minimum of 5 meters around all aspects of tree (inc' road side). Remove sprouting from base of tree. T2 & T3, Limes; growing along front of property adjacent to main road; crown lift to a minimum of 5 meters at 1 The Oval   Bessacarr   Doncaster  DN4 5LJ. This Group (G8) forms part of TPO DMBC/TPO/00064 - Doncaster Borough Council Tree Preservation Order (No.64) 1991 Bessacarr with Cantley.",2023-11-02,local-authority:DNC,,,,
23/01320/TCON,Conservation area notification to lop one Sycamore Tree. The tree is within the Tickhill Conservation Area and subject to T53 of Doncaster Borough Council Tree Preservation Order (No.301) 2009 Tickhill Lindrick.,2023-11-07,local-authority:DNC,,,,
23/01321/TPO,"Consent to trim and reshape one Birch (T1), remove epicormic/sucker growth on 11 Sycamore trees (G1), crown lift one Walnut tree (T2) to approximately 4m above ground level over patio, selectively remove one branch growing over decking area on one Sycamore (T3) and selective pruning of minor lateral branches on one Lime tree to achieve approx. 2-3m clearance and crown thin (crown clean) equal to or less than 5% targeting sucker/epicormic growth on main stem of one Lime tree (T4). The trees are subject to G2, T7, T8, T9, T10, T11, T12, T13, T14 and T17 of Doncaster Borough Council Tree Preservation Order (No.301) 2009 Tickhill Lindrick and A6 of Tickhill Urban District Council Tree Preservation Order (No.1) 1962 Tickhill.",2023-11-09,local-authority:DNC,,,,
23/01322/FUL,"Erection of two animal houses, toilet block & enclosures",2024-04-16,local-authority:DNC,,,,
23/01327/FUL,Installation of Truck Wash Screens,2023-08-24,local-authority:DNC,,,,
23/01329/FUL,"Erection of first floor side, front and rear extensions.",2023-09-06,local-authority:DNC,,,,
23/01330/FUL,Demolition of an existing conservatory and erection of a single storey flat roof rear house extension.,2023-09-15,local-authority:DNC,,,,
23/01331/TPO,"Consent to crown clean, crown lift to 5m from g/l and selectively reduce oak (T1) to allow 2-3m garage clearance; selectively reduce two birch (G3) to allow for 2-3m property clearance; crown lift sycamore (T4) to 5m above g/l (removing two 50mm dia. branches growing SE) and selectively reduce to allow for 2-3m property clearance; the trees being subject to G41 of Doncaster Borough Council Tree Preservation Order (No.64) 1991 Bessacarr with Cantley",2023-08-14,local-authority:DNC,,,,
23/01332/TPO,Consent to crown lift x2 oak (G1) to 5m above ground level and selectively reduce to clear property by 2m-3m (and sever and remove ivy in larger tree); crown lift x2 oak (G2) to 4m above ground level; the trees being subject to W1 of DRDC TPO No. 11 Barnby Dun with Kirk Sandall 1970) AMENDED DESCRIPTION [from x2 felling) ,2023-09-27,local-authority:DNC,,,,
23/01334/TPO,"Consent to selectively remove branch 1 (S side) and branch 2 (E side) and tip reduce S side by up to 0.5m one cedar; the tree being subject to T13 of Doncaster Borough Council Tree Preservation Order (No.52) 1989 Bawtry Hall, Bawtry see annotated photographs",2023-08-07,local-authority:DNC,,,,
23/01335/FUL,Demolition of existing conservatory and erection of a single storey rear extension.,2023-08-21,local-authority:DNC,,,,
23/01339/FUL,Erection of one detached house and garage following demolition of existing garage belonging to No 24. (AMENDED 13/11/2023),2024-02-09,local-authority:DNC,,,,
23/01350/FUL,"Renovation and alterations from 3 residential units and commercial area to form 6 No residential units with retail unit and storage to ground floor,",2023-12-04,local-authority:DNC,,,,
23/01351/FUL,Erection of single storey rear extension.,2023-08-09,local-authority:DNC,,,,
23/01353/COU,Change of use from C3 residential to short term holiday let (C1) (Retrospective).,2024-02-22,local-authority:DNC,,,,
23/01355/FUL,Erection of replacement barn and extension to manege area,2023-09-15,local-authority:DNC,,,,
23/01356/FUL,Erection of a 2 storey side extension.,2023-08-21,local-authority:DNC,,,,
23/01357/FUL,Alteration of 4no. existing window openings to provide new escape doors,2023-08-22,local-authority:DNC,,,,
23/01358/FUL,"Erection of single storey side / rear extension following demolition of the existing shed to side, proposed new drive with drop kerb and conversion of existing garage.",2023-09-06,local-authority:DNC,,,,
23/01359/FUL,Erection of two storey side extension following demolition of existing garage. Conversion of existing garage to bedroom with ensuite. (Being variation of condition of 22/00794/FUL granted  25/07/2022). Change to condition 2 replace the approved drawings with the revised drawings.,2023-08-31,local-authority:DNC,,,,
23/01360/LBC,Listed Building Consent for internal alterations to ground floor science classroom,2023-07-31,local-authority:DNC,,,,
23/01362/LBC,Listed Building Consent for window and downpipe replacement,2023-08-25,local-authority:DNC,,,,
23/01363/FUL,Change of use of agricultural building to Use Class E(g) with external works (being resubmission of application 23/00045/FUL).,2023-09-21,local-authority:DNC,,,,
23/01370/FUL,Erection of first floor extension over garage and replace conservatory with rear extension.,2023-12-21,local-authority:DNC,,,,
23/01371/FUL,"Temporary change of use of section of car park for the erection of temporary 'pop up' structures and associated external seating, to provide ancillary Class E(a) (shops), E(b) (food and drink), E(c)(iii) (services) and Sui Generis (hot food takeaway) uses, for a period of 3 years.",2024-03-22,local-authority:DNC,,,,
23/01373/FUL,"Internal reconfiguration of existing building with external alterations to openings, recladding of external envelope and addition of a balcony to the main dwelling. Erection of a new detached Garage/Farm Office.",2023-09-22,local-authority:DNC,,,,
23/01376/FUL,Installation of 3 no. air conditioning units to the rear of an existing building in-use for veterinary care,2023-09-14,local-authority:DNC,,,,
23/01377/FUL,"Conversion of existing barn extension into habitable space, external works including the addition and replacement of windows and doors and installation of velux roof lights.",2023-10-13,local-authority:DNC,,,,
23/01379/FUL,"Creation of charging zone, erection of EV chargers, erection of canopies, a jet wash bay, sub-station enclosure and associated forecourt works. (Being variation of condition 2 on application 22/01390/FUL granted on: 07/12/2022 to amend the approved site layout to 
include two substations instead of one)",2023-09-04,local-authority:DNC,,,,
23/01380/FUL,Erection of an agricultural machinery store.,2023-09-29,local-authority:DNC,,,,
23/01381/FUL,Erection of a single storey Garden Room infill extension and erection of a detached double Garage and Wood Store.,2023-10-26,local-authority:DNC,,,,
23/01382/LBC,Amended - Listed Building Consent for the erection of a single storey garden room infill extension and erection of a detached double garage and wood store.,2023-10-26,local-authority:DNC,,,,
23/01383/COU,Change of use of upper floors from offices (use class E) to two one-bed residential apartments (use class C3(a)) (Retrospective),2023-09-13,local-authority:DNC,,,,
23/01386/FUL,Erection of a single storey rear extension.,2023-09-20,local-authority:DNC,,,,
23/01387/FUL,Erection of a single storey rear extension and dormer loft conversion.,2023-08-23,local-authority:DNC,,,,
23/01388/FUL,"Erection of a rear single storey extension (5m x 3.4m), following demolition of existing rear extension.",2023-09-08,local-authority:DNC,,,,
23/01389/FUL,Erection of a single storey bedroom extension to rear of property with infill brickwork to upper level of existing rear wall.,2023-09-07,local-authority:DNC,,,,
23/01391/FUL,"Erection of a two storey pitched roof extension with balcony to the rear. Erection of a two storey flat roof extension with parapet to the rear. Erection of a single storey flat roof extension with balcony over to the rear. Erection of a new canopy to the front. Installation of photovoltaics to the main dwelling house (rearward facing). Demolish existing workshop and re-build with Home Office above. Existing barn structure to be converted into two storey ancillary accommodation to the main dwelling house and installation of photovoltaics to the converted barn, to the front and rear roof elevations.",2023-12-05,local-authority:DNC,,,,
23/01392/FUL,Alteration of 1no. existing window opening to provide new escape door,2023-08-29,local-authority:DNC,,,,
23/01399/FUL,Raising the height of the boundary fence at the rear of 3 St Wilfrids Road (backing onto Cantley Lane) (retrospective).,2023-12-18,local-authority:DNC,,,,
23/01404/FUL,Erection of single storey rear and single storey side porch extension.,2023-09-01,local-authority:DNC,,,,
23/01405/TPO,"Consent to crown clean crown and crown lift x4 limes to 6m from ground level and reduce extruding branch terminals back to general canopy line; the trees being subject to Doncaster Borough Council Tree Preservation Order (No.121) 1993 Lancaster Avenue, Kirk Sandall",2023-08-18,local-authority:DNC,,,,
23/01407/FUL,"Change of use from retail shop (Class E) to 1 no. 1-bed residential flat (Class C3), with associated reconfiguration of external site layout (AMENDED SCHEME)",2023-12-06,local-authority:DNC,,,,
23/01408/FUL,Erection of single storey side garden room extension and new paving area.,2023-11-01,local-authority:DNC,,,,
23/01414/FUL,Erection of side and roof extension over garage with new dormer and new roof to rear conservatory.,2023-09-08,local-authority:DNC,,,,
23/01421/FULM,"Erection of a Community Diagnostic Centre and substation, alterations to existing car parking and a new staff car park.",2024-03-27,local-authority:DNC,,,,
23/01423/FUL,Erection of a single storey front extension to enlarge existing rooms and single storey side extension to form garage.,2023-10-11,local-authority:DNC,,,,
23/01427/FUL,"Erection of a single storey rear extension, following the removal of the existing conservatory.",2023-10-05,local-authority:DNC,,,,
23/01430/FULM,"Erection of residential development of 57 affordable dwellings including associated infrastructure and landscaping (AMENDMENTS: certificate: change due to land ownership, redesign: new plans and documents, including ecology and landscaping, departure: as being viability tested)",2024-05-15,local-authority:DNC,,,,
23/01432/FUL,Proposed rear extension,2023-08-29,local-authority:DNC,,,,
23/01434/FUL,"Erection of 2 storey rear extension, single storey side extension and upgraded facade and entrance canopy works to the front of the property being and enlargement of the ground floor. Demolition of the existing garage blocks and construction of a new garage, driveway and drop kerb to the rear of the plot with the erection of 1m high side boundary fence (resubmission of planning application 22/01074/FUL).",2023-09-22,local-authority:DNC,,,,
23/01435/FUL,Erection of one 4 bed dwelling to back part of land behind electric sub station.,2024-11-05,local-authority:DNC,,,,
23/01440/FUL,"Erection of a 2 storey extension to the side/rear, with a ground floor extension also to the rear. Erection of detached double garage with room above, after demolition of the existing pre-fabricated garage. Facing materials to change from red multi-brick to stone and this includes the main dwelling house itself. Erection of a canopy to the front elevation.",2023-10-19,local-authority:DNC,,,,
23/01442/FUL,"Erection of single story extension to rear following demolition of conservatory, erection of front porch and front driveway and dropped kerb widened",2023-08-23,local-authority:DNC,,,,
23/01443/FUL,Demolish existing outbuildings and erection of new single storey outbuilding.,2024-02-26,local-authority:DNC,,,,
23/01444/PRIOR,Notification to determine if prior approval is required for change of use to 9 residential dwellings.,2023-09-25,local-authority:DNC,,,,
23/01445/FUL,Erection of new front porch following demolition of existing porch.,2023-10-04,local-authority:DNC,,,,
23/01446/TPO,Consent to fell two pine trees and replace with three standard Himalayan birch; the pines being subject to T36 and T37 of Doncaster Borough Council Tree Preservation Order (No.103) 1993 Hickleton,2023-09-07,local-authority:DNC,,,,
23/01447/FUL,Extend existing dropped kerb and add new front driveway.,2023-10-05,local-authority:DNC,,,,
23/01448/COU,Change of use from travel agent to coffee shop/cafe with storage/office.,2023-09-12,local-authority:DNC,,,,
23/01449/LBC,Listed building consent for installation of cover boxes and lightning conductors,2023-09-25,local-authority:DNC,,,,
23/01455/FUL,Erection of rear extension to existing dwelling (being resubmission of 23/00008/FUL approved on 20/02/2023).,2023-10-05,local-authority:DNC,,,,
23/01458/FUL,Erection of single storey rear extension and single storey side extension.,2023-09-07,local-authority:DNC,,,,
23/01461/COU,Change of use of land from verge to curtilage of domestic dwelling house.,2023-11-03,local-authority:DNC,,,,
23/01463/ADV,"Display of 2 number illuminated totem signs, illuminated 2 number Kia logos signs, illuminated D M Keith' letters signs, illuminated Service letters signs and 2 number non-illuminated signs at the entrance to gates.",2023-08-24,local-authority:DNC,,,,
23/01467/FULM,Internal alterations and recladding of part of the building and proposed change of use to form 13x 1 and 2 bedroom apartments (Use Class C3).,2024-01-29,local-authority:DNC,,,,
23/01472/FUL,"Erection of 7no dwellings, associated detached garages, access and associated works (S73 application to vary condition 1 of 23/00287/FUL - additional rear access required to Plots 16 and 17)",2023-09-05,local-authority:DNC,,,,
23/01473/TPO,"Consent for minor thinning works including minor dead wood removal and to laterally reduce x2 sycamore (T1, T2) by 1m over the highway, minor (0.5m) reduction of T2 where contact with T3 and T1 exists; the trees being subject to Area 3 of Doncaster Rural District Council Tree Preservation Order (No.8) 1968 Barnburgh - amended description",2023-09-25,local-authority:DNC,,,,
23/01474/FUL,"Erection of a temporary building containing two classrooms, toilets, meeting rooms and storage. Temporary building to be in place for 5 years.",2023-11-15,local-authority:DNC,,,,
23/01475/FUL,"Removal of rear conservatory, erection of single storey rear and side extension.",2023-09-15,local-authority:DNC,,,,
23/01478/TPO,"Consent to crown clean, crown thin by 10% (small diameter branches and epicormic growth only) and crown lift branch terminals to 5m from ground level one Ash; the tree being subject to G10 of Doncaster Rural District Council Tree Preservation Order (No.16) 1971 Auckley",2023-09-13,local-authority:DNC,,,,
23/01479/FUL,Erection of detached garden store,2023-09-15,local-authority:DNC,,,,
23/01480/TPO,"Application to fell a Sweet Chestnut, and crown lift/prune 2 Oak and 1 Sweet Chestnut, identified as being within G117 within and protected by Tree Preservation Order No.64 Bessacarr with Cantley 1991",2023-11-09,local-authority:DNC,,,,
23/01481/TPO,Consent to crown clean and selectively reduce x2 sweet chestnuts to provide 2-3m property clearance (max. pruning wounds 50mm); the trees being subject to T14 and T15 of Doncaster Borough Council Tree Preservation Order (No.204) 1997 Cantley Manor Avenue / Woodcross Avenue,2023-09-04,local-authority:DNC,,,,
23/01482/TPO,Consent to crown clean and selectively reduce x2 sweet chestnuts to provide 2-3m property clearance; the trees being subject to T14 and T15 of Doncaster Borough Council Tree Preservation Order (No.204) 1997 Cantley Manor Avenue / Woodcross Avenue,2023-09-04,local-authority:DNC,,,,
23/01483/FUL,Erection of gates at the front of the property (retrospective).,2023-10-12,local-authority:DNC,,,,
23/01486/FUL,Erection of two storey side and two storey/ single storey rear extensions.,2023-09-19,local-authority:DNC,,,,
23/01488/FUL,Erection of detached garage with garden room to the rear of the property.,2023-09-22,local-authority:DNC,,,,
23/01491/FUL,"Erection of second storey side, single storey rear and second storey front extension with alteration to front boundary treatment.",2023-10-02,local-authority:DNC,,,,
23/01492/COU,Change of use from children's residential home (Use Class C2) to family dwelling house (C3a),2023-12-01,local-authority:DNC,,,,
23/01493/LBC,Listed Building Consent for the erection of single storey side garden room extension and new paving area.,2023-11-01,local-authority:DNC,,,,
23/01495/FUL,AMENDED - Erection of a 2 storey side extension on the same footprint as the existing garage.,2023-09-18,local-authority:DNC,,,,
23/01499/FUL,Installation of 6 No. sprinkler system water tanks and pump houses with associated pump equipment for the installation of sprinkler systems across the site,2023-10-30,local-authority:DNC,,,,
23/01500/FUL,Erection of a temporary school building (retrospective),2024-01-25,local-authority:DNC,,,,
23/01501/ADV,"Display of 4 off sets of externally illuminated individual gold leaf letters (Signs A, B, C & D), 1 off 'Marston' logo (Sign E),1 off internally illuminated roundel pictorial panel (Sign F), 1 off internally illuminated post sign (Sign G) 2 off double sided twin post signs (Sign H & I).",2023-10-12,local-authority:DNC,,,,
23/01507/FUL,Erection of ground floor extension to existing two-storey dwelling to provide new bedroom and shower room following demolition of existing rear extension,2023-09-20,local-authority:DNC,,,,
23/01508/LBC,"Listed building consent for alterations to shopfront, including replacement surround and installation of  a new internal illuminated sign and a new awning",2023-10-13,local-authority:DNC,,,,
23/01509/TPO,"Consent for crown reduction using targeted pruning to achieve an average 2.5m reduction in radial spread and height, for crown lifting to achieve 5m clearance above ground level, and crown cleaning to remove dead, dying and diseased wood and to include removal of one major crossing limb on one Lime tree (being subject to G8 of the Doncaster Borough Council Tree Preservation Order (No.112) St. Catherine's Hospital Site, Balby 1993)",2023-09-07,local-authority:DNC,,,,
23/01510/FUL,Erection of new workshop (8.9m x 12.9m) following demolition of existing store.,2023-12-15,local-authority:DNC,,,,
23/01511/TPO,"Conset to remove T1; Ash & T2; Tree of heaven (being subject to G2 of Doncaster Borough Council Tree Preservation Order (No.210) 1997 Moat House Hotel, Warmsworth). Also, removal of a group of dead sycamores & hawthorn tree (being subject to G2 of Doncaster Borough Council Tree Preservation Order (No.210) 1997 Moat House Hotel, Warmsworth).

G1; Dead Sycamores & 1x Hawthorne; fell to ground level; dead trees & Hawthorne leans over footpath- significant decay in lower stem.",2024-03-19,local-authority:DNC,,,,
23/01513/FUL,Erection of a detached dwelling and single garage,2023-09-19,local-authority:DNC,,,,
23/01514/FUL,Erection of a single storey Sun Room/Sun Lounge extension with rendered walls to the rear of the dwelling house.,2023-09-18,local-authority:DNC,,,,
23/01516/FUL,Installation of dropped kerb and vehicle crossover,2023-11-23,local-authority:DNC,,,,
23/01519/FUL,"Replacement of temporary shop front, level access to shop and replacement of damaged roller shutter",2023-09-18,local-authority:DNC,,,,
23/01520/PRIOR,Notification to determine if prior approval is required for the change of use of a ground floor retail unit and first floor into two flats,2024-02-29,local-authority:DNC,,,,
23/01523/3FUL,Installation of 2 alley gates and associated fencing to restrict unauthorised access to anyone other than residents of the said streets,2023-09-25,local-authority:DNC,,,,
23/01528/FUL,Erection of a 2 storey rear extension.,2024-01-11,local-authority:DNC,,,,
23/01532/FUL,Erection of one and a half storey detached garage.,2024-02-12,local-authority:DNC,,,,
23/01533/ADV,"Display of two non-illuminated totem signs, one to each side of the road access point to the site - RETROSPECTIVELY. To advertise the businesses for the ground floor units below the Travelodge Hotel.",2023-08-29,local-authority:DNC,,,,
23/01535/FUL,Change of use of land for car sales and sales office and erection of 2m high fencing and gates,2023-10-20,local-authority:DNC,,,,
23/01538/FUL,Erection of a single storey rear extension following demolition of existing conservatory,2023-09-22,local-authority:DNC,,,,
23/01544/FUL,Erection of ground floor extension to rear and a sun deck above new extension with privacy side walls.,2023-09-05,local-authority:DNC,,,,
23/01545/FUL,Render of all existing elevations with alteration to windows and porch on the front elevation (retrospective). Erection of detached garage to rear with new boundary wall and gate.,2023-10-17,local-authority:DNC,,,,
23/01547/LBCM,Listed building consent for internal alterations and recladding of part of building and proposed change of use to form 13x 1 and 2 bedroom apartments.,2024-01-29,local-authority:DNC,,,,
23/01548/FUL,"Proposed redevelopment of existing Kia car dealership including alterations to the entrance, windows doors, addition of two valet bays and external alterations including new cladding.",2023-09-25,local-authority:DNC,,,,
23/01554/COU,Conversion of a two-storey detached dwelling house to a family and community hub,2023-09-25,local-authority:DNC,,,,
23/01555/FUL,"Continued use as HMO with Part 3, with Class V rights (Schedule 2, Part 3 of the GPDO 2015, as amended) to use the rear building as Serviced Accommodation (Use Class C1) with associated external works (Being variation of condition 2 of application 23/00055/FUL; approved plans, to amend the number of HMO bedrooms in the main house from 12 to 10).",2023-10-16,local-authority:DNC,,,,
23/01558/FUL,Erection of a single story infill extension to the rear of the dwelling.,2023-09-11,local-authority:DNC,,,,
23/01560/FUL,"Erection of a ground floor side/rear extension and a two storey rear extension to a detached dwelling house (Being a resubmission of application ref no: 23/00410/FUL, Refused on 26.04.2023). With the proposed plans showing a Permitted Development Porch to the front elevation.",2023-09-25,local-authority:DNC,,,,
23/01561/FUL,"Demolition of existing dwelling and associated pool house. New build replacement dwelling and garage with ancillary annexe above (without compliance with condition 02 of application 22/01372/FUL granted 09/06/2023 - Changes have been made to floor plans and elevations to suit construction and building regulations, including addition of a balcony and changes to proposed doors, windows and internal layout)",2023-10-16,local-authority:DNC,,,,
23/01564/FUL,Erection of a detached garage following demolition of existing detached garage,2023-10-11,local-authority:DNC,,,,
23/01566/FUL,Alterations to the shopfront including replacement surround and installation of a new awning,2023-10-13,local-authority:DNC,,,,
23/01567/ADV,Display of an illuminated composite panel sign,2023-10-13,local-authority:DNC,,,,
23/01568/FUL,Erection of a two storey extension to the rear as well as infill extension to connect the existing house and garage with a first-floor extension on the existing garage and external render to property,2024-01-29,local-authority:DNC,,,,
23/01569/FUL,Installation of canopies on exterior of building.,2023-12-06,local-authority:DNC,,,,
23/01570/LBC,Listed Building Consent for installation of canopies on exterior of building.,2023-12-06,local-authority:DNC,,,,
23/01574/FUL,Erection of single storey porch to side.,2023-09-11,local-authority:DNC,,,,
23/01579/FUL,Change of use from a dwelling (Class C3) to a residential children's home (Class C2),2023-10-03,local-authority:DNC,,,,
23/01581/ADV,Display of one replacement  illuminated sign on the building. (RETROSPECTIVE.),2023-10-16,local-authority:DNC,,,,
23/01584/ADV,"Display of one internally illuminated pylon sign, one internally illuminated wall mounted sign, one internally illuminated poster display unit, one internally illuminated large column wall mounted sign, two externally illuminated wall mounted billboards and three externally illuminated billboards.",2023-09-22,local-authority:DNC,,,,
23/01587/FUL,Erection of a ground floor front and rear extension and continuation of the existing sloping roof over both to the front and rear elevations to a detached dwelling house.,2023-09-20,local-authority:DNC,,,,
23/01588/FUL,Replacement of the existing external ATM. To include the relocation of the internal ATMs and the expansion of the ATM pit to clear the service area of the new machine,2023-10-31,local-authority:DNC,,,,
23/01589/LBC,The replacement of the existing external ATM. To include the relocation of the internal ATMs and the expansion of the ATM pit to clear the service area of the new machine.,2023-10-31,local-authority:DNC,,,,
23/01591/FUL,Demolition of detached garage and erection of single storey detached dependant relative accommodation.,2023-09-18,local-authority:DNC,,,,
23/01592/FUL,Change of use to mixed used cafe and takeaway (Sui Generis) and installation of extraction flue on the rear elevation,2023-09-14,local-authority:DNC,,,,
23/01597/LBC,Listed Building Consent for the replacement of windows to dwelling,2023-10-13,local-authority:DNC,,,,
23/01599/FUL,"AMENDED - Erection of a stepped depth two storey rear extension. The installation of roof lights to the side roof slopes and the installation of multiple photovoltaics' to the rear and one side roof slopes. Erection of a detached Garden Room, to be located at the bottom of the rear garden area, all of which is proposed to a semi-detached dwelling house.",2023-11-15,local-authority:DNC,,,,
23/01600/FUL,Conversion of existing outbuilding to a self contained annexe,2023-10-27,local-authority:DNC,,,,
23/01601/FUL,Demolition of garage and erection of 1 bedroom detached dormer bungalow to rear of 39 Bawtry Road and provision of new parking area for 39 Bawtry Road,2023-09-26,local-authority:DNC,,,,
23/01603/TPO,Consent to fell and replace one Himalayan Birch (T1); the tree being within woodland W11 of Doncaster Rural District Council Tree Preservation Order (No.18) 1972 Campsall with Sutton,2023-09-15,local-authority:DNC,,,,
23/01604/FUL,Demolition of existing garage and erection of new single storey garage.,2023-12-18,local-authority:DNC,,,,
23/01605/FUL,Erection of rear extension and change of use of laundrette to restaurant dine in and takeaway food facility.,2023-11-03,local-authority:DNC,,,,
23/01608/FUL,Change of use of ground floor area from community centre to class E,2023-11-01,local-authority:DNC,,,,
23/01612/FUL,Demolish existing conservatory and erection of single storey rear extension.,2023-10-20,local-authority:DNC,,,,
23/01622/FUL,Erection of a single storey extension to front of property (part retrospective).,2023-10-12,local-authority:DNC,,,,
23/01624/FUL,"Erection of a single storey extension to the front of the property, following the removal of the existing front Porch.",2023-10-02,local-authority:DNC,,,,
23/01625/FUL,Erection of a ground floor front extension.,2023-10-02,local-authority:DNC,,,,
23/01628/FUL,Erection of a stock shed,2023-09-26,local-authority:DNC,,,,
23/01630/FUL,Demolition of existing single storey side extension and erection of new single storey rear and side extension. (being resubmission of application 22/02729/FUL granted on 20.01.2023),2023-10-05,local-authority:DNC,,,,
23/01637/FUL,Installation of a green metal shed to be used for storage (Retrospective),2023-10-03,local-authority:DNC,,,,
23/01639/FUL,Erection of two storey side extension and erection of front porch following demolition of garage to side.,2023-10-31,local-authority:DNC,,,,
23/01640/3FUL,"Proposed change of use of former caretaker's bungalow to an educational building (Use Class F1) and associated external works including the provision of new surfacing, fencing, and a vehicular drop off area (part retrospective)",2024-03-18,local-authority:DNC,,,,
23/01641/FUL,Erection of single storey rear extensions and a new covered walk-in-style front bay window.,2023-11-14,local-authority:DNC,,,,
23/01643/FUL,"Enlargement of the existing car park, reconfiguration of the building entrance and internal alterations including the introduction of a mid-height floor to the existing sports hall to provide a bowling alley at ground floor with a gym at first floor level, refurbishment to the swimming pool and erection of an associated substation. (AMENDED)",2024-02-09,local-authority:DNC,,,,
23/01644/FUL,Erection of single storey rear extension following demolition of existing extension,2023-10-02,local-authority:DNC,,,,
23/01646/FUL,Installation of a wastewater treatment facility (including external plant).,2023-10-17,local-authority:DNC,,,,
23/01648/ADV,Display of external office fascia signage with a new back lit sign with new logo to replace existing,2024-01-08,local-authority:DNC,,,,
23/01649/FUL,Erection of a single storey flat roof rear extension to a detached dwelling house.,2023-10-24,local-authority:DNC,,,,
23/01650/FUL,Erection of a single-storey extension to the rear (RETROSPECTIVE),2024-03-20,local-authority:DNC,,,,
23/01652/FUL,Erection of a part two storey/part single storey wraparound extension and porch,2023-10-02,local-authority:DNC,,,,
23/01653/FUL,Erection of single storey porch to front.,2023-10-16,local-authority:DNC,,,,
23/01658/FUL,Section 73 application to vary condition 2 (approved plans) of application 20/03199/FUL - to erect a brick built enclosure for equipment,2023-10-11,local-authority:DNC,,,,
23/01661/ADV,"Display of 1 no. Fascia sign with non-illuminated letters, 2 no. Internally illuminated Co-op logos signs, 1 no. Internally illuminated store totem sign, 2 no. Banner frames, 2 no. Parking disclaimer signs and 1 no. Bag sign (retrospectively).",2023-10-09,local-authority:DNC,,,,
23/01662/FUL,"Erection of front, side and rear extensions with a re-roof and new canopy roof in part to the front elevation of a detached dwelling house.",2023-10-24,local-authority:DNC,,,,
23/01663/TPO,Consent to fell and replace one Robinia; the tree being subject to T8  of Doncaster Borough Council Tree Preservation Order (No.12) 1982 Wheatley Hills,2023-09-25,local-authority:DNC,,,,
23/01665/FUL,Erection of a single storey rear extension (being resubmission of application  22/02534/FUL granted on 07.03.23 - extension extended by 300mm),2023-10-13,local-authority:DNC,,,,
23/01668/FUL,"Erection of a single storey pitched roof extension to the rear following demolition of existing flat roof extension, with other external alterations",2023-12-18,local-authority:DNC,,,,
23/01669/LBC,Listed Building Consent for the refurbishment of classrooms and partial replacement of greenhouse,2023-10-10,local-authority:DNC,,,,
23/01670/FUL,Replace front wooden door with new wooden door,2023-10-17,local-authority:DNC,,,,
23/01671/ADV,Display of  illuminated  sign above the shop entrance (retrospective).,2023-11-09,local-authority:DNC,,,,
23/01672/FUL,Proposed change of use for the siting of up to 12 holiday caravans,2024-01-25,local-authority:DNC,,,,
23/01673/FUL,"Erection of a part two, part single storey extension to the rear of the dwelling, with internal remodel and associated works to the property.",2023-11-30,local-authority:DNC,,,,
23/01674/FUL,"Erection of a two storey extension to the side, single storey pitched roof extension to the front and rear and internal and external alterations.",2023-11-28,local-authority:DNC,,,,
