reference,planning-application,planning-condition,documentation-url,document-url,organisation,notes,entry-date,start-date,end-date
20/03415/FULM-8,20/03415/FULM,U0128879,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03415/FULM,,local-authority:DNC,,2024-12-20,2024-12-20,
20/03415/FULM-9,20/03415/FULM,U0128880,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03415/FULM,,local-authority:DNC,,2024-12-20,2024-12-20,
20/03415/FULM-10,20/03415/FULM,U0128881,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03415/FULM,,local-authority:DNC,,2024-12-20,2024-12-20,
20/03415/FULM-11,20/03415/FULM,U0128882,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03415/FULM,,local-authority:DNC,,2024-12-20,2024-12-20,
20/03415/FULM-12,20/03415/FULM,U0128883,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03415/FULM,,local-authority:DNC,,2024-12-20,2024-12-20,
20/03415/FULM-13,20/03415/FULM,U0128884,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03415/FULM,,local-authority:DNC,,2024-12-20,2024-12-20,
20/03415/FULM-14,20/03415/FULM,CON3,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03415/FULM,,local-authority:DNC,,2024-12-20,2024-12-20,
20/03415/FULM-15,20/03415/FULM,U0128885,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03415/FULM,,local-authority:DNC,,2024-12-20,2024-12-20,
20/03415/FULM-16,20/03415/FULM,U0128886,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03415/FULM,,local-authority:DNC,,2024-12-20,2024-12-20,
20/03415/FULM-17,20/03415/FULM,U0128887,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03415/FULM,,local-authority:DNC,,2024-12-20,2024-12-20,
20/03415/FULM-18,20/03415/FULM,U0128888,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03415/FULM,,local-authority:DNC,,2024-12-20,2024-12-20,
20/03415/FULM-19,20/03415/FULM,U0128889,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03415/FULM,,local-authority:DNC,,2024-12-20,2024-12-20,
20/03415/FULM-20,20/03415/FULM,U0128890,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03415/FULM,,local-authority:DNC,,2024-12-20,2024-12-20,
20/03415/FULM-21,20/03415/FULM,U0128891,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03415/FULM,,local-authority:DNC,,2024-12-20,2024-12-20,
20/03415/FULM-22,20/03415/FULM,U0128892,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03415/FULM,,local-authority:DNC,,2024-12-20,2024-12-20,
20/03415/FULM-23,20/03415/FULM,U0128893,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03415/FULM,,local-authority:DNC,,2024-12-20,2024-12-20,
20/03415/FULM-24,20/03415/FULM,U0128894,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03415/FULM,,local-authority:DNC,,2024-12-20,2024-12-20,
